8k dataset

epoch 0 average x_t_loss, x_1_loss, prob_loss, val losses: 5.118269920349121, 6.035648822784424, 40.63414764404297, 4.878611087799072, 6.040478229522705, 28.387060165405273
epoch 1 average x_t_loss, x_1_loss, prob_loss, val losses: 4.916728496551514, 6.033243179321289, 25.690385818481445, 4.931560039520264, 5.318817615509033, 22.330469131469727
epoch 2 average x_t_loss, x_1_loss, prob_loss, val losses: 4.934739112854004, 5.4192023277282715, 21.542631149291992, 4.778635501861572, 4.916481018066406, 19.913164138793945
epoch 3 average x_t_loss, x_1_loss, prob_loss, val losses: 4.94819450378418, 5.044931411743164, 19.487098693847656, 4.972584247589111, 4.67799711227417, 18.18708610534668
epoch 4 average x_t_loss, x_1_loss, prob_loss, val losses: 4.977269649505615, 4.815587997436523, 18.07297134399414, 5.0349812507629395, 4.508356094360352, 16.994142532348633
epoch 5 average x_t_loss, x_1_loss, prob_loss, val losses: 4.982516765594482, 4.651025295257568, 16.99712371826172, 4.965371131896973, 4.376325607299805, 16.16524314880371
epoch 6 average x_t_loss, x_1_loss, prob_loss, val losses: 4.967763900756836, 4.522636890411377, 16.156484603881836, 4.898338317871094, 4.292337417602539, 15.460941314697266
epoch 7 average x_t_loss, x_1_loss, prob_loss, val losses: 4.943041801452637, 4.424624443054199, 15.525640487670898, 4.8053388595581055, 4.209420204162598, 15.092977523803711
epoch 8 average x_t_loss, x_1_loss, prob_loss, val losses: 4.921542644500732, 4.358076572418213, 15.021394729614258, 4.892354488372803, 4.165844440460205, 14.545012474060059
epoch 9 average x_t_loss, x_1_loss, prob_loss, val losses: 4.90935754776001, 4.287868022918701, 14.570393562316895, 4.8012189865112305, 4.09444522857666, 14.165903091430664
epoch 10 average x_t_loss, x_1_loss, prob_loss, val losses: 4.89890193939209, 4.237833499908447, 14.167318344116211, 4.826806545257568, 4.047200679779053, 13.779383659362793
epoch 11 average x_t_loss, x_1_loss, prob_loss, val losses: 4.891548156738281, 4.194637775421143, 13.807424545288086, 4.809200286865234, 4.02552604675293, 13.494135856628418
epoch 12 average x_t_loss, x_1_loss, prob_loss, val losses: 4.886338710784912, 4.156976222991943, 13.480592727661133, 4.8362932205200195, 4.01289176940918, 13.257988929748535
epoch 13 average x_t_loss, x_1_loss, prob_loss, val losses: 4.884980201721191, 4.127708911895752, 13.149581909179688, 4.772127151489258, 3.978593349456787, 13.093052864074707
epoch 14 average x_t_loss, x_1_loss, prob_loss, val losses: 4.885027885437012, 4.11040735244751, 12.871275901794434, 4.826099395751953, 3.981328248977661, 12.889472007751465
BLEU-4 score: 0.15485824644565582
