epoch 0 average x_t_loss, x_1_loss, prob_loss, val losses: 3.516611099243164, 2.8521063327789307, 6.261606216430664, 0.876116156578064, 0.06675843149423599, 0.7381192445755005
epoch 1 average x_t_loss, x_1_loss, prob_loss, val losses: 0.8538640141487122, 0.056740809231996536, 0.6378362774848938, 0.8255191445350647, 0.04987300559878349, 0.5779663920402527
epoch 2 average x_t_loss, x_1_loss, prob_loss, val losses: 0.8076350688934326, 0.04374269023537636, 0.5623820424079895, 0.7930958867073059, 0.033630285412073135, 0.5342280864715576
epoch 3 average x_t_loss, x_1_loss, prob_loss, val losses: 0.7730160355567932, 0.036929670721292496, 0.5294236540794373, 0.7289669513702393, 0.022182628512382507, 0.5205352902412415
epoch 4 average x_t_loss, x_1_loss, prob_loss, val losses: 0.7364552617073059, 0.03254587575793266, 0.5027279257774353, 0.7101737856864929, 0.025712139904499054, 0.48461484909057617
epoch 5 average x_t_loss, x_1_loss, prob_loss, val losses: 0.7138959765434265, 0.029720209538936615, 0.4884803593158722, 0.6992518901824951, 0.028691036626696587, 0.47839799523353577
epoch 6 average x_t_loss, x_1_loss, prob_loss, val losses: 0.6908317804336548, 0.02692069299519062, 0.4730619192123413, 0.6768945455551147, 0.022322559729218483, 0.45695316791534424
epoch 7 average x_t_loss, x_1_loss, prob_loss, val losses: 0.6689435839653015, 0.02508518286049366, 0.4603937268257141, 0.6505191326141357, 0.023504042997956276, 0.45104074478149414
epoch 8 average x_t_loss, x_1_loss, prob_loss, val losses: 0.6481921076774597, 0.02314678207039833, 0.44845664501190186, 0.6316941976547241, 0.021740425378084183, 0.4401840567588806
epoch 9 average x_t_loss, x_1_loss, prob_loss, val losses: 0.6309981942176819, 0.021791789680719376, 0.4383423328399658, 0.6158947944641113, 0.02097996138036251, 0.42361748218536377
epoch 10 average x_t_loss, x_1_loss, prob_loss, val losses: 0.612795889377594, 0.020296432077884674, 0.4292943775653839, 0.6004481911659241, 0.022364173084497452, 0.4285077452659607
epoch 11 average x_t_loss, x_1_loss, prob_loss, val losses: 0.5947257876396179, 0.019270773977041245, 0.4214663505554199, 0.5837077498435974, 0.014377247542142868, 0.41102468967437744
epoch 12 average x_t_loss, x_1_loss, prob_loss, val losses: 0.5796355605125427, 0.0181520264595747, 0.4143919348716736, 0.5828155279159546, 0.01896841824054718, 0.40681594610214233
epoch 13 average x_t_loss, x_1_loss, prob_loss, val losses: 0.5702378749847412, 0.01739766262471676, 0.4099951982498169, 0.5643422603607178, 0.01488623209297657, 0.4046667814254761
epoch 14 average x_t_loss, x_1_loss, prob_loss, val losses: 0.5580021739006042, 0.01652170717716217, 0.4043590724468231, 0.545303463935852, 0.01637423038482666, 0.3950451612472534
