epoch 0 average x_t_loss, x_1_loss, prob_loss, val losses: 4.8139777183532715, 5.941722869873047, 42.067691802978516, 4.813981533050537, 6.898709774017334, 31.16887855529785
epoch 1 average x_t_loss, x_1_loss, prob_loss, val losses: 4.5768327713012695, 6.440944671630859, 28.1877384185791, 4.60147762298584, 5.641111373901367, 24.51706886291504
epoch 2 average x_t_loss, x_1_loss, prob_loss, val losses: 4.546436309814453, 5.799969673156738, 23.511539459228516, 4.6082048416137695, 5.117217540740967, 21.710874557495117
epoch 3 average x_t_loss, x_1_loss, prob_loss, val losses: 4.5690016746521, 5.284159183502197, 21.398658752441406, 4.5998215675354, 4.920039653778076, 20.17839241027832
epoch 4 average x_t_loss, x_1_loss, prob_loss, val losses: 4.60506534576416, 4.982949733734131, 20.074899673461914, 4.730521202087402, 4.754907131195068, 18.958393096923828
epoch 5 average x_t_loss, x_1_loss, prob_loss, val losses: 4.649023532867432, 4.7925591468811035, 19.098468780517578, 4.534332275390625, 4.5748372077941895, 18.326217651367188
epoch 6 average x_t_loss, x_1_loss, prob_loss, val losses: 4.6956305503845215, 4.663130760192871, 18.31156349182129, 4.734142780303955, 4.578550815582275, 17.437593460083008
epoch 7 average x_t_loss, x_1_loss, prob_loss, val losses: 4.732448577880859, 4.569934368133545, 17.678503036499023, 4.783723831176758, 4.467850208282471, 16.815767288208008
epoch 8 average x_t_loss, x_1_loss, prob_loss, val losses: 4.749190330505371, 4.488264560699463, 17.161466598510742, 4.802663326263428, 4.338024139404297, 16.33751106262207
epoch 9 average x_t_loss, x_1_loss, prob_loss, val losses: 4.753438949584961, 4.419111251831055, 16.746095657348633, 4.775140285491943, 4.331090927124023, 16.016555786132812
epoch 10 average x_t_loss, x_1_loss, prob_loss, val losses: 4.75192403793335, 4.362092971801758, 16.407302856445312, 4.748045921325684, 4.251956939697266, 15.71945571899414
epoch 11 average x_t_loss, x_1_loss, prob_loss, val losses: 4.750052452087402, 4.315113067626953, 16.1326961517334, 4.8586602210998535, 4.212378025054932, 15.440160751342773
epoch 12 average x_t_loss, x_1_loss, prob_loss, val losses: 4.75013542175293, 4.272308826446533, 15.88990592956543, 4.813906669616699, 4.181123733520508, 15.152771949768066
