epoch 0 average x_t_loss, x_1_loss, prob_loss, val losses: 4.944864273071289, 5.885850429534912, 41.658485412597656, 4.83141565322876, 6.067050933837891, 29.13971519470215
epoch 0 average x_t_loss, x_1_loss, prob_loss, val losses: 4.793747425079346, 6.096872329711914, 25.95429229736328, 4.6540093421936035, 5.359933376312256, 22.610523223876953
epoch 0 average x_t_loss, x_1_loss, prob_loss, val losses: 4.759401798248291, 5.389087677001953, 21.910980224609375, 4.6969404220581055, 4.946491241455078, 20.389780044555664
epoch 1 average x_t_loss, x_1_loss, prob_loss, val losses: 4.778374195098877, 4.830145359039307, 19.339811325073242, 4.732016563415527, 4.545536518096924, 18.33024787902832
epoch 1 average x_t_loss, x_1_loss, prob_loss, val losses: 4.788876056671143, 4.640487194061279, 18.29384422302246, 4.763618469238281, 4.372445106506348, 17.489721298217773
epoch 1 average x_t_loss, x_1_loss, prob_loss, val losses: 4.78261137008667, 4.48055362701416, 17.48600196838379, 4.77299165725708, 4.2751030921936035, 16.824771881103516
epoch 2 average x_t_loss, x_1_loss, prob_loss, val losses: 4.740071773529053, 4.307738780975342, 16.67437744140625, 4.684586048126221, 4.112276077270508, 16.147628784179688
epoch 2 average x_t_loss, x_1_loss, prob_loss, val losses: 4.724203586578369, 4.243513107299805, 16.288070678710938, 4.712757587432861, 4.086256980895996, 15.748435974121094
epoch 2 average x_t_loss, x_1_loss, prob_loss, val losses: 4.711977005004883, 4.177252769470215, 15.951704025268555, 4.727405071258545, 4.031459808349609, 15.551741600036621
epoch 3 average x_t_loss, x_1_loss, prob_loss, val losses: 4.685857772827148, 4.09851598739624, 15.647674560546875, 4.582893371582031, 3.958404064178467, 15.253691673278809
epoch 3 average x_t_loss, x_1_loss, prob_loss, val losses: 4.680145740509033, 4.071780204772949, 15.437322616577148, 4.673469543457031, 3.9414262771606445, 15.055381774902344
epoch 3 average x_t_loss, x_1_loss, prob_loss, val losses: 4.681900501251221, 4.03281307220459, 15.224763870239258, 4.697832107543945, 3.9287030696868896, 14.8618745803833
epoch 4 average x_t_loss, x_1_loss, prob_loss, val losses: 4.671763896942139, 3.993659257888794, 15.073282241821289, 4.572376251220703, 3.8794379234313965, 14.756484031677246
epoch 4 average x_t_loss, x_1_loss, prob_loss, val losses: 4.668690204620361, 3.983388662338257, 14.950207710266113, 4.658229351043701, 3.872440814971924, 14.577056884765625
epoch 4 average x_t_loss, x_1_loss, prob_loss, val losses: 4.676637649536133, 3.9790468215942383, 14.807387351989746, 4.687020778656006, 3.860527992248535, 14.474076271057129
